COR_SC 1131,COR_SC 1132,COR_CMT,COR_EDR,COR_EDR (LP),COR_ZP,DC Power Limit,COR_CHT,COR_LP,COR_SC 1141,SRV LAMDA,H2,Temp,Press
2293.356662,2789.402256,0.230394585,0.005509144,0.024595397,0.139081038,3.918164925,16911.30656,1906.512535,0.224354847,0.100423638,32.26551724,633,7360000
2327.973792,2654.097438,0.463207574,0.017685973,0.001503135,0.331454716,7.09010928,11464.34649,2583.577445,0.770091002,0.100134371,33.94298851,671,7380000
2229.495518,2728.87745,0.119570887,0.030270874,0.001139108,0.219393899,3.956614841,16847.73994,2036.271861,0.437037488,0.100793765,37.66149425,648,7400000
2169.838177,2711.497422,0.325962308,0.017823183,0.005905332,0.466482384,6.396841085,8032.071485,2540.804117,0.265412186,0.107669574,34.76678161,649,7380000
2454.066629,2416.023124,0.15007719,0.004228367,0.0093757,0.343950922,3.413674489,18880.58555,2298.552144,0.233114196,0.104236701,28.77195402,652,7380000
2157.928603,2423.728807,0.158060455,0.002021918,0.016421285,0.171284178,5.237637084,11540.94238,2780.718438,0.30579495,0.103095337,31.56149425,638,7380000
2175.022605,2556.160791,0.11461172,0.025801072,0.010504288,0.245718488,3.532933672,5684.961075,1623.582479,0.574268777,0.103026654,34.64241379,678,7380000
2329.388487,2640.571851,0.228931569,0.026381342,0.022746897,0.423525152,5.335958798,10794.11188,3243.410569,0.347613985,0.104575183,35.5591954,672,7380000
2335.912325,2560.934896,0.239971195,0.033231415,0.001560992,0.244234038,3.939196678,8500.876974,2761.31218,0.792432626,0.104121872,40.56862069,634,7380000
2456.125236,2543.395349,0.117939745,0.008857167,0.001054043,0.382875402,3.188108767,13004.31939,2439.381116,0.35044818,0.100373082,31.56804598,641,7370000
2368.885476,2727.660106,0.281273102,0.024423266,0.034376879,0.143235626,4.05637394,12714.85464,2570.577596,0.642320674,0.100000329,38.89977011,670,7390000
2418.002509,2773.897596,0.234972845,0.011998373,0.002207738,0.247795297,6.053476408,15028.78796,2863.699236,0.461937756,0.102505118,33.56724138,604,7390000
2362.830429,2745.233455,0.278312516,0.002283846,0.002123925,0.280834218,6.644530461,14117.57147,1804.239063,0.61000129,0.10346968,30.55264368,629,7380000
2158.754051,2732.345031,0.204426807,0.032207492,0.02671122,0.460858113,3.342225328,7146.268071,2115.99019,0.72656557,0.104025824,40.27908046,652,7380000
2459.906754,2537.564247,0.25257654,0.006121146,0.014449594,0.112833108,6.574160914,3344.356597,1943.546651,0.143271172,0.102091624,21.43588235,597,7370000
2486.202134,2530.791833,0.120451918,0.016366752,0.002780099,0.111461404,5.817061851,11698.2018,1537.303213,0.474353479,0.102314713,22.98329412,620,7380000
2485.109818,2743.738366,0.126889881,0.018399355,0.00863207,0.357087005,4.777516642,13080.42863,2107.135015,0.289286173,0.102534516,34.02804598,642,7380000
2492.638737,2420.908278,0.105718001,0.005076004,0.003041691,0.347779955,3.994945218,12264.12979,2764.721649,0.59209842,0.100233737,34.01137931,641,7370000
2443.380431,2674.149416,0.308468292,0.003020724,0.035381062,0.166220599,3.672226278,12382.99724,2547.461745,0.676524803,0.101940331,32.64574713,647,7380000
2373.631351,2761.364595,0.135839852,0.010201625,0.023451667,0.214849395,6.544540378,13827.40618,2130.824485,0.810723676,0.108396264,37.16551724,665,7380000
2548.760042,2785.547318,0.463882406,0.003466042,0.023918444,0.126821282,3.076928378,12601.44663,2159.210357,0.742211012,0.101291625,32.98563218,643,7370000
2462.541694,2593.326873,0.263843206,0.003363416,0.00111927,0.267403789,5.95090911,12673.94982,3424.905053,0.378067941,0.106927836,28.88724138,655,7380000
2452.439131,2736.136751,0.119150578,0.002417221,0.007331043,0.107419856,6.458564789,13189.84394,1899.660274,0.892902088,0.105342577,31.22988506,637,7370000
2109.11726,2433.758564,0.302276212,0.024187307,0.002384051,0.1039691,4.417870653,11916.03886,2086.339743,0.389570323,0.100016255,33.72298851,647,7380000
2141.397135,2495.384732,0.470167844,0.03012774,0.037053737,0.362591943,6.004188099,6293.259704,1952.828211,0.191268881,0.10007582,34.09241379,671,7370000
2410.183015,2444.758271,0.160092737,0.004163374,0.052384109,0.365259428,4.540845257,9359.13919,3434.471505,0.228203834,0.100313551,32.74804598,641,7370000
2339.735532,2498.148469,0.412001159,0.002636625,0.014810273,0.297200634,4.182591878,7247.403591,1809.918204,0.563019028,0.100032387,31.19896552,627,7370000
2532.107824,2437.988274,0.14191199,0.004365168,0.001900238,0.250277334,3.890450495,2765.72887,3463.664491,0.468374506,0.100736293,30.64816092,647,7370000
2347.189422,2679.244544,0.107340386,0.010062813,0.008100086,0.393459539,4.887180898,9844.94388,3592.885328,0.413393579,0.10000344,7.656375,562,7370000
2381.228642,2490.376349,0.1772363,0.025021502,0.007742781,0.123020089,2.636176106,6151.543967,2046.554139,0.352474117,0.101648701,34.87218391,641,7370000
2206.845002,2403.685376,0.314227259,0.0023536,0.026096011,0.150218471,5.53446659,10608.24231,2072.248755,0.499516763,0.10136058,31.39252874,635,7370000
2500.734828,2554.015724,0.130592977,0.006207679,0.002808042,0.197921443,3.048215365,10541.76547,2027.990579,0.458621143,0.11249054,32.73862069,658,7380000
2527.224424,2575.170999,0.218115838,0.007069586,0.058708288,0.159798263,6.01732368,13018.38139,2431.838162,0.286410788,0.113772349,33.1345977,615,7370000
2371.22626,2698.255093,0.111063486,0.046470213,0.010874928,0.336683419,4.235866826,5397.199108,2748.783594,0.345338608,0.102189369,35.04505747,661,7400000
2285.455894,2441.819336,0.420611671,0.023171445,0.001715132,0.212025124,6.251000631,7726.904653,2807.659171,0.614240024,0.1049815,34.59804598,666,7380000
2376.318135,2576.880242,0.343520014,0.012423579,0.030607052,0.387454438,6.102815471,18650.94074,1885.621802,0.284161661,0.100614405,35.40597701,610,7380000
2136.559066,2518.335185,0.345256704,0.04483231,0.020890334,0.105329379,4.218529811,8320.074862,3161.113069,0.309028789,0.100007016,34.40413793,674,7370000
2098.157577,2435.667421,0.13294153,0.041390666,0.003942064,0.138214292,4.788328702,13981.21958,1980.327842,0.199188286,0.10177293,34.43804598,676,7380000
2512.936545,2740.154715,0.291684015,0.004634283,0.006086582,0.295585642,7.553359209,17215.48312,1762.128248,0.27516772,0.101151895,2.916103896,562,7370000
2186.29166,2670.524173,0.104224989,0.002503118,0.005547182,0.264323049,4.650747776,20017.08972,3254.999472,0.638101611,0.101480332,2.928701299,562,7370000
2482.092182,2427.388899,0.147694013,0.017436592,0.001027636,0.442963355,6.314165807,9571.888328,3191.100122,0.439989409,0.101052058,36.09448276,643,7380000
2470.639443,2720.566663,0.153484722,0.002316316,0.004517088,0.478546802,2.935028572,10026.8203,2205.688075,0.550756248,0.102771556,31.75310345,624,7360000
2448.516186,2632.231147,0.260024475,0.002938529,0.002145226,0.220933144,2.46564111,15668.13456,2732.255134,0.485977047,0.100179283,29.44390805,650,7370000
2237.008548,2684.048665,0.216810318,0.043943826,0.003122304,0.286783971,3.375653856,4271.029955,2376.839659,0.237298118,0.100239198,34.70482759,686,7370000
2171.759645,2583.495266,0.257204042,0.003851256,0.007172458,0.101954726,5.753522358,13265.57788,2525.382788,0.183298567,0.100058874,30.02965517,634,7360000
2251.021591,2675.104717,0.177824029,0.021216529,0.001730911,0.197591963,2.984873622,8906.577141,3710.801402,0.237498087,0.100283628,34.23528736,692,7370000
2116.764357,2413.077177,0.116511607,0.004075846,0.005187891,0.400889413,5.606796265,6721.405959,2265.997904,0.248584611,0.110977266,31.05793103,673,7380000
2297.890648,2634.762821,0.294454617,0.00445236,0.057071336,0.136584112,4.637055556,5623.914185,1715.847436,0.874251412,0.101663719,32.78413793,645,7380000
2404.481512,2722.947262,0.498182307,0.004714851,0.003478246,0.130873206,4.216370085,11599.64023,1747.592946,0.217249592,0.104746307,31.6708046,640,7370000
